red cheetah rat whale giraffe monkey mouse butterfly duck dog cat rabbit pig chicken cow horse donkey sheep lion
orange spider snake anteater ant dolphin bear beaver pufferfish fish salmon cod trout bass grouper bee hornet wasp fox frog
yellow blobfish crab lobster shrimp pelican hyena elephant boar weasel meerkat buffalo starfish squid plankton lizard squirrel chipmunk pug poodle
green tiger cobra raven pigeon crow dove turtle tortoise wallabie kangaroo koala rhino racoon wolf penguin manatee stingray ocelot moose
blue gorilla orca chimp owl crocodile alligator clam goat goose gopher seal otter turkey eagle sloth vulture emu deer zebra
100 931 687 123 768 987 234 998 997 565 555 444 222 555 666 101 234 456 687 986
637 564 765 324 654 756 432 876 321 567 498 489 984 962 985 543 765 471 634 678
999 981 124 125 178 149 156 259 395 903 900 987 575 857 890 432 674 678 897 800
492 456 879 958 756 934 994 867 982 256 783 264 645 871 765 312 150 125 169 690
220 420 425 469 897 956 366 369 778 335 678 960 499 599 699 899 889 686 765 934
185 456 765 432 654 687 876 654 432 654 765 876 987 675 432 557 812 765 983 876
279 434 653 290 309 543 890 543 234 674 458 126 543 654 875 321 675 987 423 564
817 456 567 243 765 432 675 243 765 980 765 897 432 136 312 567 564 675 438 349
755 528 974 427 694 147 649 147 678 658 329 754 569 834 594 427 742 429 328 350
345 732 495 237 485 192 538 604 238 496 842 764 538 328 640 873 469 230 231 438
2.44 2.34 1.00 3.99 2.34 4.55. 5.33 3.55 9.99 6.77 8.99 2.43 4.54 6.77 8.99 9.00 7.88 5.58 7.88 3.44
3.11 6.54 6.34 6.54 5.12 5.67 6.78 6.45 5.64 1.34 5.56 7.99 3.12 5.66 7.33 8.33 5.89 7.90 4.55 4.34
5.64 5.56 5.74 2.45 2.56 3.45 6.78 1.23 8.90 5.67 9.87 4.45 3.21 6.56 7.89 2.45 5.54 8.90 6.45 2.45
9.94 6.75 3.45 7.88 2.34 6.77 5.77 3.65 8.79 6.23 5.65 3.45 5.43 5.12 2.34 1.23 4.46 1.23 3.45 5.78
4.84 3.46 7.89 6.77 5.23 1.23 4.70 5.34 3.88 6.34 1.24 5.67 3.45 5.89 6.34 3.23 4.67 8.98 9.65 9.45
